"","speaker","time","transcript"
"530","JB",59M 35S,"Absolutely ridiculous."
"531","DT",59M 36S,"… don’t want to talk, like you, about law and order."
"532","JB",59M 38S,"Violent crime-"
"533","DT",59M 39S,"And you still haven’t mentioned. Are you in favor of law and order?"
"534","JB",59M 42S,"I’m in favor of law. You- [crosstalk 00:35:15]."
"535","DT",59M 44S,"Are you in favor of law and order? [crosstalk 00:35:17]"
"536","moderator",59M 46S,"You asked a question, let him finish. [crosstalk 00:35:18] Let him answer."
"537","JB",59M 50S,"Law and order with justice, where people get treated fairly."
"538","DT",59M 53S,"Okay."
"539","JB",59M 54S,"And the fact of the matter is, violent crime went down 17%, 15% in our administration. It’s gone up on his watch."
"540","DT",59M 61S,"It went down much more in ours."
"541","moderator",59M 63S,"All right, we’re done- [crosstalk 00:35:35] Mr. President, you’re going to be very happy because we’re now going to talk about law and order."
"542","DT",59M 71S,"The places we had trouble were democratic run cities-"
"543","moderator",59M 74S,"That’s exactly my question. There has been a dramatic increase in homicides in America this summer particularly, and you often blame that on democratic mayors and democratic governors. But in fact, there have been equivalent spikes in Republican led cities, like Tulsa and Fort Worth. So the question is, is this really a…"
"544","moderator",60M 33S,"It’s like Tulsa and Fort worth. So the question is, is this really a party issue?"
"545","DT",60M 35S,"I think as a party issue, you can bring in a couple of examples but if you look at Chicago, what’s going on in Chicago where a 53 people were shot and eight died shot, if you look at New York where it’s going up, like nobody’s ever seen anything. The numbers are going up a 100%, 150%, 200% crime, it is crazy what’s going on and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that, it’s over with. But if he ever got to run this country and they ran it the way he would want to run it, we would have by the way our suburbs would be gone. And you would see problems like you’ve never seen before."
"546","JB",60M 75S,"He wouldn’t know a suburb unless you took a wrong turn."
"547","DT",60M 77S,"Oh, I know suburbs so much that you."
"548","moderator",60M 78S,"Gentlemen wait a minute."
"549","JB",60M 80S,"I was raised in the suburbs. This is not 1950. All these dog whistles and racism don’t work anymore. Suburbs are by and large integrated. There’s many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They’re dying in the suburbs. His failure to deal with the environment, they’re being flooded, they’re being burned out because his refusal to do anything. That’s why the suburbs are in trouble."
"550","moderator",61M 53S,"I do want to talk about this issue of law and order though. And in the joint recommendation that came from the Biden-Bernie Sanders task force, you talked about quote re-imagining policing. First of all, what does re-imagining policing mean and do you support? If I might finish the question, what does re-imagining policing mean and do you support the Black Lives Matter call for community control of policing?"
"551","JB",61M 84S,"Look, what I support are the police having the opportunity to deal with the problems they face and I’m totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That’s when crime went down, it didn’t go up. It went down. And so we have to be…"
"552","DT",62M 65S,"That’s not what they are talking about this. That’s not what it is about. He’s talking about defunding the police."
"553","JB",62M 69S,"That is not true."
"554","DT",62M 70S,"He doesn’t have any law support. He has no law enforcement."
"555","JB",62M 75S,"That’s not true."
"556","DT",62M 75S,"He has almost nothing. Oh, really, who do you have name one group that supports you name one group that came out and supported you. Go ahead. Think we have time."
"557","JB",62M 84S,"We don’t have time to do anything."
"558","DT",62M 85S,"No, no think right now. Name one law enforcement group that came out in support of you."
"559","moderator",63M 30S,"Now, gentleman. I think I’m going to tell I’m going to take back the bottom line."
"560","DT",63M 33S,"There aren’t any."
"561","moderator",63M 34S,"And I want to get to another subject, which is the issue of protests in many cities that have turned violent in Portland, Oregon, especially we had more than a 100 straight days of protests, which I think you would agree, you talk about peaceful protests. Many of those turned into riots. Mr. Vice-president you say that people who commit crimes should be held accountable. The question I have though is as the democratic nominee, and earlier tonight, you said that you are the Democratic Party right now, have you ever called the Democratic Mayor of Portland or the Democratic Governor of Oregon and said, “Hey, you got to stop this, bring in the National Guard, do whatever it takes, but you’d stop the days and months of violence in Portland.”"
"562","JB",63M 80S,"I don’t hold public office. Now I am a former vice president. I’ve made it clear. I’ve made it clear in my public statements that the violence should be prosecuted. It should be prosecuted and anyone who committed it should be prosecuted."
"563","moderator",64M 32S,"But you’ve never called for the people…"
"564","DT",64M 32S,"He’s never done that."
"565","moderator",64M 32S,"Excuse me, sir. You had never called for the leaders in Portland and in Oregon to call and bring in the National Guard and knock off a 100 days of riots."
"566","JB",64M 45S,"They can in fact take care of it if he just stay out of the way."
"567","DT",64M 49S,"Oh really? I sent in the US Marshalls to get the killer of a young man in the middle of the street and they shot him for three days Portland didn’t do anything. I sent in the US Marshals they took care of business."
"568","moderator",64M 63S,"Go ahead sir."
"569","JB",64M 64S,"And by the way his own former spokesperson said, “Riots and chaos and violence help he cause.” That’s what this is all about."
"570","DT",64M 73S,"I don’t know who said that."
"571","JB",64M 74S,"I do."
"572","DT",64M 75S,"Who?"
"573","JB",64M 76S,"I think Kellyanne Conway."
"574","DT",64M 78S,"I don’t think she said that."
"575","JB",64M 78S,"She said that."
"576","DT",64M 79S,"I don’t think so."
"577","JB",64M 80S,"Here’s the point, the point is that that’s why he keeps trying to rile everything up. He doesn’t want to calm things down instead of going in and talking to people and saying, “Let’s get everybody together. Figure out how to deal with this.” What’s he do? He just pours gasoline in the fire constantly and every single solitary time."
"578","moderator",65M 40S,"Okay. And to end this, button up this segment I’m going to give you a minute to answer, sir. You have repeatedly criticized…"
"579","DT",65M 46S,"Does it mean I have to answer his stuff."
"580","moderator",65M 47S,"You have repeatedly…"
"581","DT",65M 48S,"Wait a second, you have made a statement."
"582","moderator",65M 49S,"You’ve been talking back and forth. I’m asking you."
"583","DT",65M 52S,"I would love to end it."
"584","moderator",65M 54S,"You know sir if you want to switch seats we could very quickly can do that."
"585","DT",65M 58S,"I’ll send in the National Guard, it would be over. That’d be no problem. But I don’t want to accept the National Guard."
"586","moderator",65M 63S,"You have repeatedly criticized the vice president for not specifically calling out Antifa and other left wing extremist groups. But are you willing tonight to condemn white supremacists and militia group and to say that they need to stand down and not add to the violence in a number of these cities as we saw in Kenosha and as we’ve seen in Portland."
"587","DT",65M 87S,"Sure, I’m will to do that."
"588","moderator",65M 89S,"Are you prepared specifically to do it."
"589","DT",66M 30S,"I would say almost everything I see is from the left wing not from the right wing."
"590","moderator",66M 34S,"But what are you saying?"
"591","DT",66M 36S,"I’m willing to do anything. I want to see peace."
"592","moderator",66M 38S,"Well, do it, sir."
"593","JB",66M 39S,"Say it, do it say it."
"594","DT",66M 40S,"What do you want to call them? Give me a name, give me a name, go ahead who do you want me to condemn."
"595","moderator",66M 44S,"White supremacist and right-wing militia."
"596","JB",66M 44S,"Proud Boys."
"597","DT",66M 48S,"Proud Boys, stand back and stand by. But I’ll tell you what somebody’s got to do something about Antifa and the left because this is not a right wing problem this is a left wing…"
"598","JB",66M 58S,"His own FBI Director said unlike white supremacist, Antifa is an idea not an organization-"
"599","DT",66M 65S,"Oh you got to be kidding me."
"600","JB",66M 66S,"… not a militia. That’s what his FBI Director said."
"601","DT",66M 71S,"Well, then you know what, he’s wrong."
"602","moderator",66M 72S,"We’re done, sir. Moving onto the next… [crosstalk 00:42:46]"
"603","DT",66M 76S,"Antifa is bad."
"604","JB",66M 77S,"Every body in your administration tells you the truth, it’s a bad idea. You have no idea about anything."
"605","DT",66M 83S,"You know what, Antifa is a dangerous radical group."
"606","moderator",66M 86S,"All right, gentlemen we’re now moving onto the Trump-Biden record."
"607","DT",66M 88S,"And you ought to be careful of them, they’ll over throw you."
"608","moderator",67M 30S,"I’m going to ask a question. When the president seeks a second term, it is generally a referendum on his record but vice president Biden, you’d like to quote one of your dad’s sayings, which is don’t compare me to the almighty, compare me to the alternative. And in this case sir you are the alternative. Looking at both of your records, I’m going to ask each of you. Why should voters elect you president over your opponent in this segment, President Trump you’ll go first, two minutes."
"609","DT",67M 60S,"Because there is never been an administration or president who has done more than I’ve done in a period of three and a half years. And that’s despite the impeachment hoax and you so what happened today with Hillary Clinton, where it was a whole big con job. But despite going through all of these things where I had a fight, both flanks and behind me and above there has never been an administration that’s done what I’ve done. The greatest, before COVID came in the greatest economy in history, lowest unemployment numbers, everything was good. Everything was going."
"610","DT",68M 33S,"And by the way, there was unity going to happen. People were calling me for the first time in years, they were calling and they were saying it’s time maybe and then what happened? We got hit. But now we’re building it back up again. A rebuilding of the military, including Space Force and all of the other things. A fixing of the VA which was a mess under him, 308,000 people died because they didn’t have proper health care. It was a mess. And we now got a 91% approval rating at the VA, our vets. We take care of our vets. But we’ve rebuilt our military. And I’ll tell you something, some people say maybe the most important by the end of the first term I’ll have approximately 300 Federal judges and Court of Appeals judges, 300 and hopefully three great Supreme Court judges, justices that is a record the likes of which very few people and one of the reasons I’ll have so many judges because President Obama and him left me 128 judges to fill."
"611","DT",69M 35S,"When you leave office, you don’t leave any judges. That’s like, you just don’t do that. They left 128 openings and if I were a member of his party, because they have a little different philosophy, I’d say, if you left us 128 openings you can’t be a good president. You can’t be a good vice president but I want to thank you because it gives us almost, it’ll probably be above that number. By the end of this term, 300 judges. It’s a record."
"612","moderator",69M 64S,"Looking at both of your records. Why should voters elect you President as opposed to president Trump, you have two minutes uninterrupted."
"613","JB",69M 72S,"Under this president, we become weaker, sicker, poor, more divided and more violent. When I was vice president, we inherited a recession. I was asked to fix it. I did. We left him a booming economy and he caused the recession. With regard to being weaker, the fact is that I’ve gone head to head with Putin and made it clear to him we’re not going to take any of his stuff. He’s Putin’s puppy. He still refuses to even say anything to Putin about the bounty on the heads of American soldiers."
"614","DT",70M 44S,"You son got three and a half million dollars."
"615","JB",70M 47S,"By the way, my son…"
"616","moderator",70M 49S,"Wait a minute. Mr. President, your campaign agreed to both sides would get two minute answers, uninterrupted. Well, you’re a side agreed to it and why don’t you observe what your campaign agreed to as a ground rule. Okay, sir?"
"617","JB",70M 63S,"He never keeps his word."
"618","moderator",70M 64S,"No, that was a rhetorical question."
"619","JB",70M 67S,"Can you get back 30 seconds?"
"620","moderator",70M 69S,"Yes. You may have, go ahead."
"621","JB",70M 72S,"So thirdly, we’re poor. The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID. You in the home, you got less you’re in more trouble than you were before. In terms of being more violent. When we were in office there were 15% less violence in America than there is today. He’s President United States. It’s on his watch. And with regard to more divided the nation, it can’t stay divided. We can’t be this way. And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers. My son was in Iraq. He spent a year there. He got the Brown Star. He got the Conspicuous Service Medal. He was not a loser. He was a Patriot and the people left behind there were heroes."
"622","DT",71M 69S,"Really?"
"623","JB",71M 69S,"And I resent-"
"624","DT",71M 70S,"Are you talking Hunter, are you talking about Hunter."
"625","JB",71M 72S,"I’m talking about my son, Beau Biden, you’re talking about Hunter?"
"626","DT",71M 74S,"I don’t know Beau. I know Hunter. Hunter got thrown out of the military. He was thrown out dishonorably discharged."
"627","JB",71M 81S,"That’s not true he was not dishonorably discharged."
"628","DT",71M 83S,"For cocaine use. And he didn’t have a job until you became vice president."
"629","JB",71M 86S,"None of that is true."
"630","DT",71M 86S,"Once you became vice president he made a fortune in Ukraine, in China, in Moscow and various other places."
"631","JB",72M 31S,"That is not true."
"632","DT",72M 34S,"He made a fortune and he didn’t have a job."
"633","JB",72M 37S,"My son like a lot of people at home had a drug problem. He’s overtaking it. He’s fixed it. He’s worked on it. And I’m proud of him, I’m proud of my son."
"634","DT",72M 47S,"But why was he given tens of millions of dollars?"
"635","JB",72M 49S,"He wasn’t given tens of millions of dollars. [crosstalk 00:48:23] It was all discredited."
"636","moderator",72M 57S,"We’ve already been through this. I think the American people would rather hear about more substantial subjects. Well, as the moderator, sir, I’m going to make a judgment call here."
"637","DT",72M 65S,"I know but when somebody gets three and a half million dollars from the Mayor of Moscow."
"638","JB",72M 69S,"That is not true. That report is totally discredited."
"639","DT",72M 73S,"Why did he get it?"
"640","JB",72M 75S,"Mitt Romney on that committee said it wasn’t worth taxpayer’s money. That report was written for political reason."
"641","moderator",72M 80S,"I’d like to talk about climate change."
"642","JB",72M 82S,"So would I."
"643","moderator",72M 83S,"Okay. The forest fires in the West are raging now. They have burned millions of acres. They have displaced hundreds of thousands of people. When state officials there blamed the fires on climate change. Mr. President, you said, I don’t think the science knows. Over your four years, you have pulled the US out of the Paris Climate Accord. You have rolled back a number of Obama Environmental records, what do you believe about the science of climate change and what will you do in the next four years to confront it?"
"644","DT",73M 57S,"I want crystal clean water and air. I want beautiful clean air. We have now the lowest carbon… If you look at our numbers right now, we are doing phenomenally. But I haven’t destroyed our businesses. Our businesses aren’t put out of commission. If you look at the Paris Accord, it was a disaster from our standpoint. And people are actually very happy about what’s going on because our businesses are doing well. As far as the fires are concerned, you need forest management. In addition to everything else, the forest floors are loaded up with trees, dead trees that are years old and they’re like tinder and leaves and everything else. You drop a cigarette in there the whole forest burns down. You’ve got to have forest management."
"645","moderator",74M 39S,"What do you believe about the science of climate change, sir?"
"646","DT",74M 43S,"I believe that we have to do everything we can to have immaculate air immaculate water and do whatever else we can that’s good. We’re planting a billion trees, the Billion Tree Project and it’s very exciting for a lot of people."
"647","moderator",74M 55S,"You believe that human pollution, gas, greenhouse gas emissions contributes to the global warming of this planet."
"648","DT",74M 62S,"I think a lot of things do, but I think to an extent, yes. I think to an extent, yes, but I also think we have to do better management of our forest. Every year I get the call. California’s burning, California’s burning. If that was cleaned, if that were, if you had forest management, good forest management, you wouldn’t be getting those calls. In Europe, they live they’re forest cities. They call forest cities. They maintain their forest. They manage their forest. I was with the head of a major country, it’s a forest city. He said, “Sir, we have trees that are far more, they ignite much easier than California. There shouldn’t be that problem.” I spoke with the Governor about it. I’m getting along very well with the governor. But I said, “At some point you can’t every year have hundreds of thousands of acres of land just burned to the ground.” That’s burning down because of a lack of management."
"649","moderator",75M 55S,"But sir if you believe in the science of climate change, why have you rolled back the Obama Clean Power Plan which limited carbon emissions and power plants? Why have you relaxed…?"
"650","DT",75M 65S,"Because it was driving energy prices through the sky."
"651","JB",75M 68S,"Why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks?"
"652","DT",75M 74S,"Well, not really because what’s happening is the car is much less expensive and it’s a much safer car and you talk it about a tiny difference. And then what would happen because of the cost of the car you would have at least double and triple the number of cars purchased. We have the old slugs out there that are 10, 12 years old. If you did that, the car would be safer. It would be much cheaper by $3,500."
"653","moderator",76M 36S,"But in the case of California they have simply ignored that."
"654","DT",76M 38S,"No, but you would take a lot of cars off the market because people would be able to afford a car. Now, by the way, we’re going to see how that turns out. But a lot of people agree with me, many people. The car has gotten so expensive because they have computers all over the place for an extra little bit of gasoline. And I’m okay with electric cars too. I think I’m all for electric cars. I’ve given big incentives for electric cars but what they’ve done in California is just crazy."
"655","moderator",76M 64S,"All right, Vice president Biden. I’d like you to respond to the president’s climate change record but I also want to ask you about a concern. You propose $2 trillion in green jobs. You talk about new limits, not abolishing, but new limits on fracking. Ending the use of fossil fuels to generate electricity by 2035 and zero none admission of greenhouse gases by 2050. The president says a lot of these things would tank the economy and cost millions of jobs."
"656","JB",77M 33S,"He’s absolutely wrong, number one. Number two, if in fact, during our administration in the recovery act, I was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil. Nobody’s going to build another coal fired plant in America. No one’s going to build another oil fire plant in America. They’re going to move to renewable energy. Number one, number two, we’re going to make sure that we are able to take the federal fleet and turn it into a fleet that’s run on their electric vehicles. Making sure that we can do that, we’re going to put 500,000 charging stations in all of the highways that we’re going to be building in the future. We’re going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they’ll emit significantly less gas and oil because the heat will not be going out. There’s so many things that we can do…"
"657","JB",78M 33S,"Gas and oil because the heat will not be going out. There’s so many things that we can do now to create thousands and thousands of jobs. We can get to net zero, in terms of energy production, by 2035. Not only not costing people jobs, creating jobs, creating millions of good-paying jobs. Not 15 bucks an hour, but prevailing wage, by having a new infrastructure that in fact, is green. And the first thing I will do, I will rejoin the Paris Accord. I will join the Paris Accord because with us out of it, look what’s happening. It’s all falling apart. And talk about someone who has no relationship with foreign policy. The rainforests of Brazil are being torn down, are being ripped down. More carbon is absorbed in that rainforest than every bit of carbon that’s emitted in the United States. Instead of doing something about that, I would be gathering up and making sure we had the countries of the world coming up with $20 billion, and say, “Here’s $20 billion. Stop tearing down the forest. And If you don’t, then you’re going to have significant economic consequences.”"
"658","moderator",79M 41S,"What about the argument that President Trump basically says, that you have to balance environmental interests and economic interests? And he’s drawn his line."
"659","JB",79M 51S,"Well, he hasn’t drawn a line. He wants to make sure that methane’s not a problem. You can now emit more methane without it being a problem. Methane. This is a guy who says that you don’t have to have mileage standards for automobiles that exist now. This is the guy who says that, the fact that-"
"660","DT",79M 69S,"Not true. Not true-"
"661","JB",79M 70S,"It’s all true. And here’s the deal-"
"662","DT",79M 72S,"He’s talking about the Green New Deal. And it’s not 2 billion [crosstalk 00:55:45] or 20 billion, as you said [crosstalk 00:55:46]. It’s $100 trillion."
"663","JB",79M 79S,"I’m talking about the Biden plan [crosstalk 00:55:51]-"
"664","moderator",79M 80S,"Let him go for a minute, and then you can go."
"665","DT",79M 82S,"And rebuild the building."
"666","JB",79M 83S,"No."
"667","DT",79M 83S,"It’s the dumbest-"
"668","JB",79M 84S,"That is not-"
"669","DT",79M 84S,"… most ridiculous [crosstalk 00:55:56] where two car systems are out-"
"670","JB",79M 89S,"Not true-"
"671","DT",80M 30S,"… where they want to take out the cows too."
"672","JB",80M 31S,"Not true."
"673","DT",80M 31S,"That’s not true either, right?"
"674","JB",80M 33S,"Not true."
"675","DT",80M 34S,"This is a 100 trillion-"
"676","JB",80M 36S,"Simply… Look-"
"677","DT",80M 36S,"That’s more money than our country could make in 100 years [crosstalk 00:02:10]-"
"678","JB",80M 39S,"That is simply not the case-"
"679","moderator",80M 44S,"All right. Let me [crosstalk 00:02:12]. Wait a minute, sir. I actually have studied your plan, and it includes upgrading 4 million buildings, weatherizing 2 million homes over four years, building one and a half million energy efficient homes. So the question becomes, the president is saying, I think some people who support the president would say, that sounds like it’s going to cost a lot of money and hurt the economy."
"680","JB",80M 68S,"What it’s going to do, it’s going to create thousands and millions of jobs. Good paying jobs [crosstalk 00:02:41]."
"681","moderator",80M 72S,"Let him finish, sir."
"682","JB",80M 73S,"He doesn’t know how to do that-"
"683","DT",80M 75S,"100 million dollars."
"684","JB",80M 76S,"The fact is, it’s going to create millions of good paying jobs, and these tax incentives for people to weatherize, which he wants to get rid of. It’s going to make the economy much safer. Look how much we’re paying now to deal with the hurricanes, deal with… By the way, he has an answer for hurricanes. He said, maybe we should drop a nuclear weapon on them, and they may-"
"685","DT",81M 35S,"I never said that at all-"
"686","JB",81M 36S,"Yeah, he did say that-"
"687","DT",81M 36S,"They made it up."
"688","JB",81M 38S,"And here’s the deal-"
"689","DT",81M 39S,"You make up a lot-"
"690","JB",81M 40S,"… we’re going to be in a position where we can create hard, hard, good jobs by making sure the environment is clean, and we all are in better shape. We spend billions of dollars now, billions of dollars, on floods, hurricanes, rising seas. We’re in real trouble. Look what’s happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa. They didn’t happen before. They’re because of global warming. We make up 15% of the world’s problem. But the rest of the world, we’ve got to get them to come along. That’s why we have to get back into the Paris Accord."
"691","moderator",81M 82S,"All right, gentlemen-"
"692","DT",81M 82S,"Wait a minute, Chris. So why didn’t he do it for 47 years? You were vice president-"
"693","JB",81M 86S,"For 47-"
"694","DT",81M 86S,"So why didn’t you get the world… China sends up real dirt into the air. Russia does. India does. They all do. We’re supposed to be good. And by the way, he made a couple of statements. The Green New Deal is a hundred trillion dollars."
"695","JB",82M 38S,"That is not my plan [crosstalk 00:58:10]. The Green New Deal [crosstalk 00:58:14] is not my plan. [crosstalk 00:58:15]-"
"696","moderator",82M 45S,"Gentlemen-"
"697","DT",82M 46S,"He made a statement about the military. He said I said something about the military. He and his friends made it up, and then they went with it. I never said it."
"698","moderator",82M 53S,"Okay. [crosstalk 00:58:24] Mr. Vice President-"
"699","DT",82M 58S,"He called the military stupid bastards."
"700","JB",82M 58S,"I did not say that-"
"701","DT",82M 61S,"He said it on tape. [crosstalk 00:58:32]-"
"702","moderator",82M 61S,"Please, sir. [crosstalk 00:58:33] Stop."
"703","DT",82M 64S,"I would never say that [crosstalk 00:58:35]-"
"704","JB",82M 65S,"Play it. Play it-"
"705","moderator",82M 66S,"Stop. Go ahead-"
"706","DT",82M 67S,"You’re on tape-"
"707","moderator",82M 68S,"Mr. Vice President answered his final question."
"708","JB",82M 71S,"The final question is, I can’t remember which of all his rantings [crosstalk 00:04:44]."
"709","moderator",82M 74S,"I’m having a little trouble myself, but…"
"710","JB",82M 77S,"Yeah."
"711","moderator",82M 78S,"And about the economy and about this question of what it’s going to cost."
"712","JB",82M 82S,"The economy-"
"713","moderator",82M 83S,"The Green New Deal and the idea of what your environmental changes will do-"
"714","JB",82M 87S,"The Green New Deal will pay for itself as we move forward. We’re not going to build plants that, in fact, are great polluting plants-"
"715","moderator",83M 35S,"So, do you support the Green New Deal?"
"716","JB",83M 37S,"Pardon me?"
"717","moderator",83M 38S,"Do you support the-"
"718","JB",83M 38S,"No, I don’t support the Green New Deal."
"719","DT",83M 40S,"Oh, you don’t? Oh, well, that’s a big statement."
"720","JB",83M 42S,"I support [crosstalk 00:05:13]-"
"721","DT",83M 43S,"You just lost the radical left."
"722","JB",83M 45S,"I support [crosstalk 00:59:17] the Biden plan that I put forward."
"723","moderator",83M 49S,"Okay."
"724","JB",83M 49S,"The Biden plan, which is different than what he calls the radical Green New Deal."
"725","moderator",83M 54S,"All right, gentlemen, final segment, election integrity. As we meet tonight, millions of Americans are receiving mail-in ballots or going to vote early. How confident should we be that this will be a fair election, and what are you prepared to do over the next five plus weeks? Because it will not only be to election day, but also counting some mail-in ballots after election day. What are you prepared to do to reassure the American people that the next president will be the legitimate winner of this election. In this final segment, Mr. Vice President, you go first."
"726","JB",1H 24M 32S,"Prepare to let people vote. They should go to iwillvote.com, decide how they’re going to vote, when they’re going to vote, and what means by which they’re going to vote. His own Homeland Security director, and as well as the FBI director, says that there is no evidence at all that mail-in ballots are a source of being manipulated and cheating. They said that. The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way. He sits behind the Resolute Desk and sends his ballot to Florida, number one. Number two, we’re going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance. The polls are open on time, and the polls stay open until the votes are counted. And this is all about trying to dissuade people from voting because he’s trying to scare people into thinking that it’s not going to be legitimate."
"727","JB",1H 24M 85S,"Show up and vote. You will determine the outcome of this election. Vote, vote, vote. If you’re able to vote early in your state, vote early. If you’re able to vote in person, vote in person. Vote whatever way is the best way for you, because you will… He cannot stop you from being able to determine the outcome of this election. And in terms of whether or not… When the votes are counted and they’re all counted, that will be accepted. If I win, that will be accepted. If I lose, that’ll be accepted. But by the way, if in fact he says, he’s not sure what he’s going to accept. Well, let me tell you something, it doesn’t matter, because if we get the votes, it’s going to be all over. He’s going to go. He can’t stay in power. It won’t happen. It won’t happen, so vote. Just make sure you understand, you have it in your control to determine what this country is going to look like the next four years. Is it going to change, or are you going to get four more years of these lies?"
"728","moderator",1H 25M 82S,"Mr. President, two minutes."
"729","DT",1H 25M 83S,"So when I listen to Joe talking about a transition, there has been no transition from when I won. I won that election. And if you look at crooked Hillary Clinton, if you look at all of the different people, there was no transition, because they came after me trying to do a coup. They came after me spying on my campaign. They started from the day I won, and even before I won. From the day I came down the escalator with our first lady, they were a disaster. They were a disgrace to our country, and we’ve caught them. We’ve caught them all. We’ve got it all on tape. We’ve caught them all. And by the way, you gave the idea for the Logan Act against General Flynn. You better take a look at that, because we caught you in a sense, and President Obama was sitting in the office."
"730","DT",1H 26M 65S,"He knew about it too. So don’t tell me about a free transition. As far as the ballots are concerned, it’s a disaster. A solicited ballot, okay, solicited, is okay. You’re soliciting. You’re asking. They send it back. You send it back. I did that. If you have an unsolicited… They’re sending millions of ballots all over the country. There’s fraud. They found them in creeks. They found some, just happened to have the name Trump just the other day in a wastepaper basket. They’re being sent all over the place. They sent two in a Democrat area. They sent out a thousand ballots. Everybody got two ballots. This is going to be a fraud like you’ve never seen. The other thing, it’s nice. On November 3rd, you’re watching, and you see who won the election. And I think we’re going to do well because people are really happy with the job we’ve done."
"731","DT",1H 27M 52S,"But you know what? We won’t know. We might not know for months because these ballots are going to be all over. Take a look at what happened in Manhattan. Take a look at what happened in New Jersey. Take a look at what happened in Virginia and other places. They’re not losing 2%, 1%, which by the way is too much. An election could be won or lost with that. They’re losing 30 and 40%. It’s a fraud, and it’s a shame. And can you imagine where they say, “You have to have your ballot in by November 10th.” November 10th. That’s seven days after the election, in theory, should have been announced. We have major states [crosstalk 01:03:58] with that-"
"732","moderator",1H 27M 88S,"Sir."
"733","DT",1H 27M 88S,"… all run by Democrats-"
"734","moderator",1H 27M 89S,"Two minutes is two minutes."
"735","DT",1H 28M 30S,"All run by Democrats."
"736","moderator",1H 28M 32S,"President Trump-"
"737","DT",1H 28M 32S,"It’s a rigged election."
"738","moderator",1H 28M 34S,"You’re going to be able to continue. You have been charging for months that mail-in balloting is going to be a disaster. You say it’s rigged [crosstalk 00:01:04:11], that it’s going to lead to fraud. But in 2018, in the last midterm election, 31 million people voted mail-in voting. That was more than a quarter of all the voters that year, cast their ballots by mail. Now that millions of mail-in ballots have gone out, what are you going to do about it? And are you counting on the Supreme Court, including a Justice Barrett, to settle any dispute?"
"739","DT",1H 28M 68S,"Yeah. I think I’m counting on them to look at the ballots, definitely. I hope we don’t need them, in terms of the election itself. But for the ballots, I think so, because what’s happening is incredible. I read today where at least 1% of the ballots for 2016 were invalidated. They take them. We don’t like them. We don’t like them. They throw them out-"
"740","moderator",1H 28M 89S,"But what are you going to do about it-"
"741","DT",1H 28M 89S,"… left and right."
"742","moderator",1H 29M 30S,"There are millions of ballots going out right now. What are you going to do-"
"743","DT",1H 29M 32S,"What you do is you go and vote. You do a solicited ballot, and that’s okay-"
"744","moderator",1H 29M 35S,"No. No. I know your complaint [crosstalk 01:05:05]. I’m asking you about the fact that millions of people have received-"
"745","DT",1H 29M 38S,"You go and vote. You go and vote-"
"746","moderator",1H 29M 41S,"No. But what I’m saying is [crosstalk 01:05:11], what are you going to do about the fact that millions of people-"
"747","DT",1H 29M 44S,"You either do, Chris, a solicited ballot, where you’re sending it in, they’re sending it back and you’re sending. They have mailmen with lots of it. Did you see what’s going on? Take a look at West Virginia, mailman selling the ballots. They’re being sold. They’re being dumped in rivers. This is a horrible thing for our country."
"748","JB",1H 29M 60S,"There is no [crosstalk 01:05:32]… There is no evidence of that-"
"749","DT",1H 29M 63S,"This is not going to end well."
"750","JB",1H 29M 64S,"There is no evidence of that-"
"751","DT",1H 29M 64S,"This is not going to end well-"
"752","moderator",1H 29M 67S,"Okay. Vice President Biden, in fact, go ahead, sir-"
"753","JB",1H 29M 67S,"Five states have had mail-in ballots for the last decade or more. Five, including two Republican states. And you don’t have to solicit the ballot. It’s sent to you. It’s sent to your home. What they’re saying is that it has to be a postmark by election day. If it doesn’t get in until the seventh, eighth, ninth, it still should be counted. He’s just afraid of counting the votes-"
"754","DT",1H 30M 33S,"You’re wrong. You’re wrong [crosstalk 01:06:04]. I love counting the votes [crosstalk 01:06:05]-"
"755","moderator",1H 30M 35S,"I want to continue with you on this [crosstalk 01:06:06] Vice President Biden-"
"756","DT",1H 30M 37S,"Chris, he’s so wrong when he makes a statement like that-"
